pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,st_teff,st_mass,st_met,sy_dist
11 Com b,11 Com,2,1,326.03000000,1.290000,12.100,6165.60000,19.100000,0.231000,4742.00,2.70,-0.350,93.1846000
11 UMi b,11 UMi,1,1,516.21997000,1.530000,12.300,4684.81420,13.800000,0.080000,4213.00,2.78,-0.020,125.3210000
14 And b,14 And,1,1,185.84000000,0.830000,12.900,1525.50000,3.900000,0.000000,4813.00,2.20,-0.240,75.4392000
14 Her b,14 Her,1,2,1773.40002000,2.930000,12.900,1481.08780,3.790000,0.370000,5338.00,0.90,0.410,17.9323000
16 Cyg B b,16 Cyg B,3,1,798.50000000,1.660000,13.500,565.73740,1.260000,0.680000,5750.00,1.08,0.060,21.1397000
17 Sco b,17 Sco,1,1,578.38000000,1.450000,12.900,1373.01872,3.510000,0.060000,4157.00,1.22,-0.010,124.9530000
18 Del b,18 Del,2,1,993.30000000,2.600000,12.500,3273.50000,9.210000,0.080000,4979.00,2.30,-0.052,76.2220000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,330.000000,18.647,3000.00000,2.540000,,4060.00,0.85,,139.1350000
24 Boo b,24 Boo,1,1,30.35060000,0.190000,13.900,289.22530,0.592000,0.042000,4893.00,0.99,-0.770,95.9863000
24 Sex b,24 Sex,1,2,452.80000000,1.333000,13.400,632.46000,1.440000,0.090000,5098.00,1.54,-0.030,72.0691000
24 Sex c,24 Sex,1,2,883.00000000,2.080000,13.900,273.32000,0.559000,0.290000,5098.00,1.54,-0.030,72.0691000
2M0437 b,2MASS J04372171+2651014,1,1,,118.000000,13.000,1271.31363,3.180000,,3100.00,0.17,0.010,128.4840000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,,84.000000,12.300,4131.79000,12.200000,,,0.19,,47.2000000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,,52.000000,11.209,7786.50000,30.400000,,3530.00,0.40,,33.8281000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,,156.000000,16.141,4417.83700,5.770000,,3064.00,0.11,,40.0896412
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,,15.000000,12.600,2383.60000,6.550000,,2936.00,0.02,,120.4239870
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,55.000000,12.900,1589.15000,4.070000,,2825.00,0.02,,64.3080000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,416.00000000,0.920000,13.400,603.87700,1.380000,,10868.00,0.48,-0.092,396.3320000
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,7336.50000000,,10.310,6657.48000,33.400000,0.260000,2300.00,0.08,,33.1156898
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,,230.000000,12.300,3972.87500,11.700000,,4045.00,0.60,,69.5737000
30 Ari B b,30 Ari B,4,1,335.10001000,0.990000,12.300,4392.41060,13.000000,0.290000,6331.00,1.93,0.190,44.6570000
4 UMa b,4 UMa,1,1,269.30000000,0.870000,12.700,2256.50000,6.050000,0.432000,4415.00,1.23,-0.250,73.4603000
42 Dra b,42 Dra,2,1,479.10000000,1.190000,13.000,1233.13000,3.080000,0.380000,4200.00,0.98,-0.460,90.6545000
47 UMa b,47 UMa,1,3,1078.00000000,2.100000,13.200,804.08000,1.920000,0.032000,5872.00,1.06,0.040,13.7967000
47 UMa c,47 UMa,1,3,2391.00000000,3.600000,14.200,171.62100,0.329000,0.098000,5872.00,1.06,0.040,13.7967000
47 UMa d,47 UMa,1,3,14002.00000000,11.600000,13.500,521.22000,1.160000,0.160000,5872.00,1.06,0.040,13.7967000
51 Eri b,51 Eri,3,1,11688.00000000,13.200000,13.400,635.66000,1.450000,0.450000,7295.00,1.75,-0.027,29.7575000
51 Peg b,51 Peg,1,1,4.23078500,0.052700,14.300,146.20180,0.275000,0.013000,5758.00,1.03,0.180,15.4614000
55 Cnc b,55 Cnc,2,5,14.65160000,0.113400,13.900,263.97850,0.540000,0.000000,5172.00,0.91,0.350,12.5855000
55 Cnc c,55 Cnc,2,5,44.39890000,0.237300,8.510,54.47380,0.486000,0.030000,5172.00,0.91,0.350,12.5855000
55 Cnc d,55 Cnc,2,5,5574.20000000,5.957000,13.000,1232.49300,3.080000,0.130000,5172.00,0.91,0.350,12.5855000
55 Cnc e,55 Cnc,2,5,0.73654740,0.015440,1.875,7.99000,6.660000,0.050000,5172.00,0.91,0.350,12.5855000
55 Cnc f,55 Cnc,2,5,259.88000000,0.770800,7.590,44.81200,0.563000,0.080000,5172.00,0.91,0.350,12.5855000
6 Lyn b,6 Lyn,1,1,934.30000000,2.110000,13.400,638.83830,1.460000,0.073000,4938.00,1.44,-0.130,54.6599000
61 Vir b,61 Vir,1,3,4.21500000,0.050201,2.110,5.10000,2.980000,0.120000,5577.00,0.94,-0.010,8.5033200
61 Vir c,61 Vir,1,3,38.02100000,0.217500,4.460,18.20000,1.130000,0.140000,5577.00,0.94,-0.010,8.5033200
61 Vir d,61 Vir,1,3,123.01000000,0.476000,5.110,22.90000,0.943000,0.350000,5577.00,0.94,-0.010,8.5033200
7 CMa b,7 CMa,1,2,735.10000000,1.758000,13.400,587.98550,1.340000,0.060000,4826.00,1.34,0.210,19.8101000
7 CMa c,7 CMa,1,2,996.00000000,2.153000,13.900,276.51210,0.566000,0.080000,4826.00,1.34,0.210,19.8101000
70 Vir b,70 Vir,1,1,116.68800000,0.481000,12.600,2380.45000,6.540000,0.398800,5495.00,1.09,-0.090,17.9011000
75 Cet b,75 Cet,2,1,691.90000000,2.100000,13.100,953.49000,2.330000,0.117000,4846.00,2.49,0.000,82.9613000
8 UMi b,8 UMi,1,1,93.40000000,0.490000,13.600,416.35730,0.910000,0.060000,4847.00,1.44,-0.030,162.5520000
81 Cet b,81 Cet,1,1,952.70000000,2.500000,12.800,1684.40000,4.410000,0.206000,4785.00,2.40,-0.060,101.2600000
91 Aqr b,91 Aqr,3,1,181.40000000,0.700000,13.100,1017.00000,2.490000,0.027000,4665.00,1.40,-0.030,44.0304000
AB Pic b,AB Pic,1,1,,260.000000,12.300,4290.50000,12.700000,,5285.00,0.90,0.040,50.0475000
AU Mic b,AU Mic,1,2,8.46300000,0.064500,4.070,17.00000,1.400000,0.000000,3700.00,0.50,,9.7221000
AU Mic c,AU Mic,1,2,18.85901900,0.110100,3.240,13.60000,2.300000,0.000000,3700.00,0.50,,9.7221000
BD+03 2562 b,BD+03 2562,1,1,481.90000000,1.300000,12.700,2034.11200,5.460000,0.200000,4095.00,1.14,-0.710,1070.6300000
BD+14 4559 b,BD+14 4559,1,1,268.94000000,0.780000,13.800,330.54320,0.691000,0.290000,4864.00,0.49,0.170,49.3520000
BD+15 2375 b,BD+15 2375,1,1,153.22000000,0.576000,13.800,337.21763,0.705000,0.001000,4649.00,1.08,-0.220,768.0450000
BD+15 2940 b,BD+15 2940,1,1,137.48000000,0.539000,13.700,352.78000,0.754000,0.260000,4796.00,1.10,0.280,426.4200000
BD+20 2457 b,BD+20 2457,1,2,379.63000000,1.050000,11.600,17668.16970,62.200000,0.150000,4259.00,10.83,-0.790,1539.7100000
BD+20 2457 c,BD+20 2457,1,2,621.99000000,2.010000,12.400,3963.17000,11.400000,0.180000,4137.00,2.80,-1.000,1539.7100000
BD+20 274 b,BD+20 274,1,1,578.20000000,1.300000,13.000,1334.88600,3.340000,0.210000,4296.00,0.80,-0.460,1322.5100000
BD+20 594 b,BD+20 594,1,1,41.68550000,0.241000,2.578,22.24810,7.890000,0.000000,5766.00,1.67,-0.150,179.4610000
BD+45 564 b,BD+45 564,1,1,307.88000000,0.830000,13.600,432.24663,0.944000,0.120000,5004.00,0.81,-0.090,53.6220000
BD+48 738 b,BD+48 738,1,1,392.60000000,1.000000,13.900,289.22530,0.592000,0.200000,4414.00,0.74,-0.200,871.4930000
BD+48 740 b,BD+48 740,1,1,733.00000000,1.700000,13.500,540.31100,1.210000,0.760000,4534.00,1.09,-0.130,666.5890000
BD+49 828 b,BD+49 828,1,1,2590.00000000,4.200000,13.500,508.50000,1.140000,0.350000,4943.00,1.52,-0.190,442.0420000
BD+55 362 b,BD+55 362,1,1,265.59000000,0.780000,14.000,228.83645,0.458000,0.270000,5012.00,0.91,0.180,52.5697000
BD+60 1417 b,BD+60 1417,1,1,,1662.000000,14.684,4767.42610,8.270000,,4993.00,1.00,,44.9543000
BD+63 1405 b,BD+63 1405,1,1,1198.48000000,2.060000,13.000,1258.60049,3.150000,0.880000,5000.00,0.82,-0.090,38.0473000
BD-00 4475 b,BD-00 4475,1,1,723.20000000,1.480000,12.000,7961.60160,25.300000,0.390000,5040.00,0.81,-0.140,42.6402000
BD-06 1339 b,BD-06 1339,1,2,3.87280000,0.042800,2.850,8.50000,2.020000,0.000000,4324.00,0.70,-0.140,20.2695000
BD-06 1339 c,BD-06 1339,1,2,125.94000000,0.435000,8.380,53.00000,0.495000,0.310000,4324.00,0.70,-0.140,20.2695000
BD-08 2823 b,BD-08 2823,1,2,5.60000000,0.060000,3.610,12.71320,1.480000,0.150000,4816.00,0.50,-0.060,41.3342000
BD-08 2823 c,BD-08 2823,1,2,237.60000000,0.680000,12.500,104.00000,0.293000,0.190000,4746.00,0.74,-0.070,41.3342000
BD-10 3166 b,BD-10 3166,1,1,3.48777000,0.040000,14.100,187.51970,0.368000,0.020000,5393.00,1.47,0.380,84.4069000
BD-11 4672 b,BD-11 4672,1,2,1634.00000000,2.360000,14.100,206.58950,0.405000,0.050000,4550.00,0.65,-0.350,27.1665000
BD-11 4672 c,BD-11 4672,1,2,74.20000000,0.300000,4.040,15.37000,1.280000,0.400000,4550.00,0.65,-0.350,27.1665000
BD-13 2130 b,BD-13 2130,1,1,714.29999000,1.660000,12.500,3108.37740,8.750000,0.210000,4545.00,2.12,-0.080,925.2140000
BD-17 63 b,BD-17 63,1,1,655.60000000,1.340000,12.800,1620.90000,4.250000,0.540000,4714.00,0.74,-0.030,34.4603000
CD Cet b,CD Cet,1,1,2.29070000,0.018500,1.820,3.95000,3.600000,,3130.00,0.16,0.130,8.6071500
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,10037.50000000,2.600000,12.400,3337.10000,9.620000,,580.50,0.02,,23.1000000
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,8040000.00000000,200.000000,20.849,2479.06157,1.500000,,2320.00,0.01,,
CHXR 73 b,CHXR 73,1,1,,210.000000,12.300,3994.48600,11.800000,,3099.00,0.35,,190.3740000
CI Tau b,CI Tau,1,1,8.98910000,,12.400,3686.82800,10.600000,0.250000,3807.00,0.90,,157.9980000
COCONUTS-2 b,COCONUTS-2 A,1,1,402000000.00000000,7506.000000,12.442,2002.31896,5.710000,,3406.00,0.37,0.000,10.8864000
CT Cha b,CT Cha,1,1,,440.000000,24.660,5403.00000,1.980000,,4403.00,,-0.560,190.7200000
CoRoT-1 b,CoRoT-1,1,1,1.50895570,0.027520,16.700,327.35000,0.380000,0.000000,5950.00,0.95,-0.300,787.9090000
CoRoT-10 b,CoRoT-10,1,1,13.24060000,0.105500,10.870,874.00000,3.700000,0.530000,5075.00,0.89,0.260,338.3860000
CoRoT-11 b,CoRoT-11,1,1,2.99433000,0.043600,16.030,740.51000,0.990000,0.000000,6440.00,1.27,-0.030,655.0370000
CoRoT-12 b,CoRoT-12,1,1,2.82804200,0.040160,16.140,291.43800,0.411000,0.070000,5675.00,1.08,0.160,1126.3700000
CoRoT-13 b,CoRoT-13,1,1,4.03519000,0.051000,9.920,415.70400,2.340000,0.000000,5945.00,1.09,0.010,1148.9300000
CoRoT-14 b,CoRoT-14,1,1,1.51214000,0.027000,12.220,2415.40000,7.300000,0.000000,6035.00,1.13,0.050,1744.6000000
CoRoT-16 b,CoRoT-16,1,1,5.35227000,0.061800,13.110,170.03200,0.440000,0.330000,5650.00,1.10,0.190,732.4090000
CoRoT-17 b,CoRoT-17,1,1,3.76810000,0.046100,11.430,772.29000,2.820000,0.000000,5740.00,1.04,0.000,1176.1200000
CoRoT-18 b,CoRoT-18,1,1,1.90006930,0.029500,14.680,1102.82000,2.200000,0.080000,5440.00,0.95,-0.100,764.8890000
CoRoT-19 b,CoRoT-19,1,1,3.89713000,0.051800,14.460,352.78000,0.710000,0.047000,6090.00,1.21,-0.020,790.6630000
CoRoT-2 b,CoRoT-2,2,1,1.74299350,0.027980,16.432,1102.82000,1.470000,0.014300,5625.00,0.96,0.040,213.2830000
CoRoT-20 b,CoRoT-20,1,2,9.24285000,0.090000,9.416,1366.66900,8.870000,0.590000,5880.00,1.14,0.140,844.0610000
CoRoT-20 c,CoRoT-20,1,2,1675.00000000,2.900000,12.200,5403.11000,16.400000,0.600000,4947.50,1.14,0.140,844.0610000
CoRoT-21 b,CoRoT-21,1,1,2.72474000,0.041700,14.572,718.29580,1.360000,0.000000,6200.00,1.29,0.000,1398.8341969
CoRoT-22 b,CoRoT-22,1,1,9.75598000,0.092000,4.880,12.20000,0.249000,0.077000,5939.00,1.10,0.170,627.1580000
CoRoT-23 b,CoRoT-23,1,1,3.63130000,0.048000,11.770,889.90000,3.000000,0.160000,5900.00,1.14,0.050,1060.9700000
CoRoT-24 b,CoRoT-24,1,2,5.11340000,0.056000,3.700,5.70000,0.900000,0.000000,4950.00,0.91,0.300,591.5550000
CoRoT-24 c,CoRoT-24,1,2,11.75900000,0.098000,5.000,28.00000,1.300000,0.000000,4950.00,0.91,0.300,591.5550000
CoRoT-25 b,CoRoT-25,1,1,4.86069000,0.057800,12.110,85.81000,0.150000,0.000000,6040.00,1.09,-0.010,1103.4800000
CoRoT-26 b,CoRoT-26,1,1,4.20474000,0.052600,14.120,165.26000,0.280000,0.000000,5590.00,1.09,0.010,1045.1800000
CoRoT-27 b,CoRoT-27,1,1,3.57532000,0.047600,11.287,3302.11000,12.600000,0.065000,5900.00,1.05,-0.100,1010.2800000
CoRoT-28 b,CoRoT-28,1,1,5.20851000,0.060300,10.705,153.82972,0.690000,0.047000,5150.00,1.01,0.150,766.1830000
CoRoT-29 b,CoRoT-29,1,1,2.85057000,0.038600,10.088,270.15550,1.450000,0.082000,5260.00,0.97,0.200,806.5070000
CoRoT-3 b,CoRoT-3,1,1,4.25680000,0.057830,11.320,6883.91000,26.400000,0.000000,6740.00,1.37,0.140,768.7710000
CoRoT-30 b,CoRoT-30,1,1,9.06005000,0.084400,11.310,921.70700,3.450000,0.007000,5650.00,0.98,0.020,1032.2300000
CoRoT-31 b,CoRoT-31,1,1,4.62941000,0.058600,16.365,266.97720,0.330000,0.020000,5700.00,1.25,0.000,2005.7600000
CoRoT-4 b,CoRoT-4,1,1,9.20205000,0.090000,13.340,228.83000,0.525000,0.000000,6190.00,1.16,0.050,726.4120000
CoRoT-5 b,CoRoT-5,1,1,4.03789620,0.049470,15.558,148.42000,0.217000,0.090000,6100.00,1.00,-0.250,882.4720000
CoRoT-6 b,CoRoT-6,1,1,8.88659300,0.085500,13.068,940.74000,2.320000,0.100000,6090.00,1.05,-0.200,645.2940000
CoRoT-7 b,CoRoT-7,1,2,0.85359163,0.017016,1.681,4.07661,6.610000,0.000000,5275.00,0.82,0.050,159.9060000
CoRoT-7 c,CoRoT-7,1,2,3.69800000,0.046000,2.830,8.40000,2.040000,0.000000,5256.00,0.90,0.060,159.9060000
CoRoT-8 b,CoRoT-8,1,1,6.21229000,0.063000,6.390,69.92000,1.600000,0.000000,5080.00,0.88,0.300,322.0370000
CoRoT-9 b,CoRoT-9,2,1,95.27265600,0.402100,11.949,266.97720,0.860000,0.133000,5625.00,0.96,-0.010,412.9800000
CoRoTID 223977153 b,CoRoTID 223977153,1,1,6.71837000,0.071000,6.389,47.67450,1.100000,,5970.00,1.08,0.000,576.6830000
DE CVn b,DE CVn,2,1,4098.10000000,5.750000,12.400,3823.27330,11.000000,0.000000,3579.00,0.51,,30.5225000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,246.36000000,0.360000,11.900,9057.77000,29.500000,0.345000,,0.07,,20.7700000
DH Tau b,DH Tau,1,1,,330.000000,30.264,3496.00000,0.693000,,4371.00,0.33,,134.8460000
DMPP-1 b,DMPP-1,1,4,18.57000000,0.146200,5.290,24.27000,0.901000,0.083000,6196.00,1.21,,62.5388000
DMPP-1 c,DMPP-1,1,4,6.58400000,0.073300,3.060,9.60000,1.840000,0.057000,6196.00,1.21,,62.5388000
DMPP-1 d,DMPP-1,1,4,2.88200000,0.042200,1.650,3.35000,4.100000,0.070000,6196.00,1.21,,62.5388000
DMPP-1 e,DMPP-1,1,4,5.51600000,0.065100,1.860,4.13000,3.530000,0.070000,6196.00,1.21,,62.5388000
DMPP-2 b,DMPP-2,1,1,5.20720000,0.066400,14.300,138.89171,0.261000,0.078000,6500.00,1.44,,137.9400000
DMPP-3 A b,DMPP-3 A,2,1,6.67320000,0.066200,1.410,2.58000,5.060000,0.140000,5138.00,0.87,0.180,45.2300000
DP Leo b,DP Leo,2,1,10220.00000000,8.190000,12.700,1995.88832,5.350000,0.390000,13500.00,0.69,,305.6840000
DS Tuc A b,DS Tuc A,2,1,8.13826800,,5.700,413.17900,,0.000000,5428.00,1.01,0.000,44.0622000
EPIC 201170410.02,EPIC 201170410,1,1,6.79870000,0.034900,1.047,1.15000,5.510000,0.000000,3648.00,0.29,-0.048,134.0000000
EPIC 201238110 b,EPIC 201238110,1,1,28.16560000,,1.870,4.16000,3.500000,,3587.00,0.41,,159.2590000
EPIC 201427007 b,EPIC 201427007,1,1,0.72091000,,1.500,2.86000,4.660000,,5633.00,0.93,-0.053,706.3910000
EPIC 201497682 b,EPIC 201497682,1,1,2.13174000,,0.692,0.26000,4.310000,,4991.00,0.78,-0.089,253.0260000
EPIC 201595106 b,EPIC 201595106,1,1,0.87721400,,1.300,2.24000,5.600000,,5820.00,1.02,-0.010,232.1000000
EPIC 201615463 c,K2-166,1,2,3.80464000,,1.220,1.98000,5.990000,,5942.50,1.07,-0.051,476.8820000
EPIC 201754305 d,K2-16,1,3,2.71578000,,1.030,1.08000,5.430000,,4761.00,0.67,-0.330,334.9670000
EPIC 201757695.02,EPIC 201757695,1,1,2.04780000,0.029600,0.908,0.68800,5.050000,0.000000,4520.00,0.73,-0.003,577.6000000
EPIC 201833600 c,K2-50,1,2,3.96151000,,1.000,0.97200,5.340000,,4292.67,0.61,-0.113,257.4430000
EPIC 201841433 b,EPIC 201841433,1,1,4.16980000,0.035000,1.040,1.12000,5.470000,,5053.00,0.80,0.000,436.4880000
EPIC 205950854 c,K2-168,1,2,8.05072200,,1.310,2.27000,5.550000,,5502.70,0.88,-0.130,243.9350000
EPIC 206024342 b,EPIC 206024342,1,3,4.50756000,,1.700,3.53000,3.950000,,5724.00,0.93,-0.220,369.8880000
EPIC 206024342 c,EPIC 206024342,1,3,0.91172400,,1.400,2.54000,5.090000,,5724.00,0.93,-0.220,369.8880000
EPIC 206024342 d,EPIC 206024342,1,3,14.64753100,,2.600,7.27000,2.270000,,5724.00,0.93,-0.220,369.8880000
EPIC 206032309 b,EPIC 206032309,1,1,2.87814000,,1.010,1.01000,5.390000,,3489.00,0.22,,161.3650000
EPIC 206042996 b,EPIC 206042996,1,2,5.29711000,,1.620,3.26000,4.210000,,4114.00,0.56,0.006,451.7690000
EPIC 206042996 c,EPIC 206042996,1,2,0.35488400,,1.200,1.87000,5.950000,,4114.00,0.56,0.006,451.7690000
EPIC 206215704 b,EPIC 206215704,1,1,2.25372000,,0.900,0.66600,5.020000,,3467.00,0.41,,109.8880000
EPIC 206317286 b,EPIC 206317286,1,1,1.58252000,,0.960,0.84000,5.220000,,4864.00,0.71,,314.3500000
EPIC 211822797 b,EPIC 211822797,1,1,21.17019630,0.119500,1.920,4.35000,3.380000,0.060000,4057.00,0.62,0.200,186.1970000
EPIC 211945201 b,EPIC 211945201,1,1,19.49221000,0.149300,5.760,27.00000,0.650000,0.000000,6069.00,1.17,0.100,181.6900000
EPIC 212297394 b,EPIC 212297394,1,2,2.28936300,,1.480,2.79000,4.730000,,5171.00,0.83,-0.030,418.3950000
EPIC 212297394 c,EPIC 212297394,1,2,5.21396500,,2.270,5.77000,2.710000,,5171.00,0.83,-0.030,418.3950000
EPIC 212424622 b,EPIC 212424622,1,1,18.09830000,,2.170,5.35000,2.880000,,5782.33,1.11,,611.8040000
EPIC 212499991 b,EPIC 212499991,1,1,34.88500000,,1.600,3.19000,4.280000,,4982.79,0.91,,283.2900000
EPIC 212587672 b,EPIC 212587672,1,2,15.28078000,,1.260,2.13000,5.850000,,6004.00,0.99,-0.180,320.0700000
EPIC 212587672 c,EPIC 212587672,1,2,23.22855500,,2.320,5.99000,2.640000,,6004.00,0.99,-0.180,320.0700000
EPIC 212624936 b,EPIC 212624936,1,2,0.57865700,,1.200,1.87000,5.950000,,5765.00,1.00,-0.390,561.9290000
EPIC 212624936 c,EPIC 212624936,1,2,11.81143700,,2.300,5.90000,2.660000,,5765.00,1.00,-0.390,561.9290000
EPIC 212737443 b,EPIC 212737443,1,2,13.60300000,0.098000,2.586,7.20000,2.290000,0.200000,4684.00,0.69,-0.137,336.2500000
EPIC 212737443 c,EPIC 212737443,1,2,65.55000000,0.280000,2.690,7.70000,2.170000,0.200000,4684.00,0.69,-0.137,336.2500000
EPIC 220492298 b,EPIC 220492298,1,1,0.76240600,,0.990,0.93700,5.310000,,5620.00,0.95,0.280,624.5120000
EPIC 220554210 c,K2-282,1,2,0.70531000,,1.480,2.79000,4.730000,,5523.00,0.94,0.150,496.2890000
EPIC 220674823 b,EPIC 220674823,1,2,0.57133100,0.013400,1.820,7.72000,8.500000,0.000000,5617.00,0.97,0.130,244.5900000
EPIC 220674823 c,EPIC 220674823,1,2,13.33907900,0.109100,2.730,5.80000,2.000000,0.180000,5617.00,0.97,0.130,244.5900000
EPIC 228836835 b,EPIC 228836835,1,1,0.72811300,,1.100,1.37000,5.660000,,3782.00,0.42,-0.180,150.1240000
EPIC 246851721 b,EPIC 246851721,2,1,6.18023500,0.072290,11.781,953.49000,3.100000,,6202.00,1.32,0.141,372.6320000
EPIC 248847494 b,EPIC 248847494,1,1,3650.00000000,4.500000,12.442,4131.79000,,0.000000,4898.00,0.90,-0.230,551.8860000
EPIC 249893012 b,EPIC 249893012,1,3,3.59510000,0.047000,1.950,8.75000,6.390000,0.060000,5430.00,1.05,0.200,321.2960000
EPIC 249893012 c,EPIC 249893012,1,3,15.62400000,0.130000,3.670,14.67000,1.620000,0.070000,5430.00,1.05,0.200,321.2960000
EPIC 249893012 d,EPIC 249893012,1,3,35.74700000,0.220000,3.940,10.18000,0.910000,0.150000,5430.00,1.05,0.200,321.2960000
FU Tau b,FU Tau,1,1,,800.000000,12.200,5085.28000,15.400000,,2838.00,0.05,,133.4950466
G 264-012 b,G 264-012,1,2,2.30538000,0.022790,1.390,2.50000,5.120000,,3326.00,0.30,0.100,16.0090000
G 264-012 c,G 264-012,1,2,8.05180000,0.052500,1.760,3.75000,3.780000,,3326.00,0.30,0.100,16.0090000
G 9-40 b,G 9-40,1,1,5.74600700,0.038500,2.025,4.76000,3.150000,0.000000,3348.00,0.29,0.040,27.9276000
GJ 1061 b,GJ 1061,1,3,3.20400000,0.021000,1.100,1.37000,5.660000,0.310000,2953.00,0.12,-0.080,3.6727800
GJ 1061 c,GJ 1061,1,3,6.68900000,0.035000,1.180,1.74000,5.820000,0.290000,2953.00,0.12,-0.080,3.6727800
GJ 1061 d,GJ 1061,1,3,13.03100000,0.054000,1.160,1.64000,5.770000,0.530000,2953.00,0.12,-0.080,3.6727800
GJ 1132 b,GJ 1132,1,2,1.62893100,0.015300,1.130,1.66000,6.300000,0.220000,3270.00,0.18,-0.120,12.6130000
GJ 1132 c,GJ 1132,1,2,8.92900000,0.047600,1.430,2.64000,4.960000,0.270000,3270.00,0.18,-0.120,12.6130000
GJ 1148 b,GJ 1148,1,2,41.38000000,0.166000,11.900,96.70000,0.315000,0.380000,3287.00,0.34,0.160,11.0143000
GJ 1148 c,GJ 1148,1,2,532.58000000,0.912000,9.710,68.06000,0.409000,0.342000,3287.00,0.34,0.160,11.0143000
GJ 1151 b,GJ 1151,1,1,2.01800000,0.017350,1.390,2.50000,5.120000,0.000000,3114.00,0.17,,8.0362500
GJ 1214 b,GJ 1214,1,1,1.58040433,0.014900,2.742,8.17000,2.200000,0.063000,3250.00,0.18,0.290,14.6427000
GJ 1252 b,GJ 1252,1,1,0.51823490,0.009160,1.193,2.09000,6.760000,0.000000,3458.00,0.38,0.100,20.3730000
GJ 1265 b,GJ 1265,1,1,3.65110000,0.026000,2.630,7.40000,2.240000,0.040000,3236.00,0.18,-0.040,10.2525000
GJ 143 b,GJ 143,1,2,35.61253000,0.191500,2.610,22.70000,7.000000,0.188000,4640.00,0.73,0.003,16.3200000
GJ 15 A b,GJ 15 A,2,2,11.44070000,0.072000,1.550,3.03000,4.470000,0.094000,3607.00,0.38,-0.340,3.5622800
GJ 15 A c,GJ 15 A,2,2,7600.00000000,5.400000,6.670,36.00000,0.667000,0.270000,3607.00,0.38,-0.340,3.5622800
GJ 160.2 b,GJ 160.2,1,1,5.23540000,0.053000,3.170,10.20000,1.760000,0.060000,4347.00,0.69,,25.8557000
GJ 163 b,GJ 163,1,3,8.63182000,0.060700,3.250,10.60000,1.700000,0.073000,3500.00,0.40,0.100,15.1285000
GJ 163 c,GJ 163,1,3,25.63058000,0.125400,2.500,6.80000,2.390000,0.099000,3500.00,0.40,0.100,15.1285000
GJ 163 d,GJ 163,1,3,603.95116000,1.030400,5.920,29.40000,0.779000,0.373000,3500.00,0.40,0.100,15.1285000
GJ 179 b,GJ 179,1,1,2288.00000000,2.410000,13.900,260.61000,0.533000,0.210000,3370.00,0.36,0.300,12.3560000
GJ 180 b,GJ 180,1,3,17.13300000,0.092000,2.430,6.49000,2.490000,0.070000,3371.00,0.43,,11.9407000
GJ 180 c,GJ 180,1,3,24.32900000,0.129000,2.410,6.40000,2.510000,0.090000,3371.00,0.43,,11.9407000
GJ 180 d,GJ 180,1,3,106.30000000,0.309000,2.660,7.56000,2.210000,0.140000,3811.50,0.43,,11.9407000
GJ 2056 b,GJ 2056,1,1,69.97100000,0.283000,4.170,16.20000,1.230000,0.720000,4069.95,0.62,,28.4434000
GJ 229 A c,GJ 229,2,2,121.99500000,0.339000,2.600,7.26800,2.270000,0.190000,3912.54,0.58,,5.7562400
GJ 229 b,GJ 229,2,2,526.11500000,0.898000,2.850,8.47800,2.010000,0.100000,3564.00,0.58,,5.7562400
GJ 251 b,GJ 251,1,1,14.23800000,0.081800,1.830,4.00000,3.590000,0.100000,3451.00,0.36,-0.030,5.5805700
GJ 27.1 b,GJ 27.1,1,1,15.81900000,0.101000,3.660,13.00000,1.460000,0.080000,3542.00,0.53,,23.6062000
GJ 273 b,GJ 273,1,2,18.64980000,0.091101,1.510,2.89000,4.610000,0.100000,3382.00,0.29,0.090,5.9215350
GJ 273 c,GJ 273,1,2,4.72340000,0.036467,1.060,1.18000,5.440000,0.170000,3382.00,0.29,0.090,5.9215350
GJ 3021 b,GJ 3021,2,1,133.71000000,0.490000,13.100,1071.04000,2.620000,0.511000,5540.00,0.90,0.100,17.5559000
GJ 3082 b,GJ 3082,1,1,11.94900000,0.079000,2.790,8.20000,2.070000,0.220000,3910.00,0.47,,16.6186000
GJ 3138 b,GJ 3138,1,3,1.22003000,0.019700,1.180,1.78000,5.950000,0.190000,3717.00,0.68,-0.300,28.4712000
GJ 3138 c,GJ 3138,1,3,5.97400000,0.057000,1.880,4.18000,3.460000,0.110000,3717.00,0.68,-0.300,28.4712000
